model,hit_5,hit_10,hit_20,benchmark
fm,0.002980222162015714,0.002980222162015714,0.004876727174207532,ranking_data_random
fm_match,0.002980222162015714,0.002980222162015714,0.004876727174207532,ranking_data_random
fm_side_info,0.00270929287455974,0.003251151449471688,0.004876727174207532,ranking_data_random
fm_extended,0.005147656461663506,0.005689515036575454,0.005960444324031428,ranking_data_random
fm,0.001083717149823896,0.00135464643727987,0.001625575724735844,evaluation_knn_lda
fm_match,0.001083717149823896,0.00135464643727987,0.001625575724735844,evaluation_knn_lda
fm_side_info,0.00135464643727987,0.00135464643727987,0.001625575724735844,evaluation_knn_lda
fm_extended,0.000812787862367922,0.001083717149823896,0.001625575724735844,evaluation_knn_lda
fm,0.004334868599295584,0.005147656461663506,0.007856949336223246,actual_test_interaction
fm_match,0.004334868599295584,0.005147656461663506,0.007856949336223246,actual_test_interaction
fm_side_info,0.00406393931183961,0.00541858574911948,0.007315090761311298,actual_test_interaction
fm_extended,0.008398807911135195,0.00948252506095909,0.009753454348415064,actual_test_interaction
fm,0.004334868599295584,0.005147656461663506,0.007856949336223246,all_interaction_data
fm_match,0.004334868599295584,0.005147656461663506,0.007856949336223246,all_interaction_data
fm_side_info,0.00406393931183961,0.00541858574911948,0.007315090761311298,all_interaction_data
fm_extended,0.008398807911135195,0.00948252506095909,0.009753454348415064,all_interaction_data
