model,hit_5,hit_10,hit_20,benchmark
ebm_location,0.004876727174207532,0.005689515036575454,0.005960444324031428,ranking_data_random
ebm_side_info,0.000541858574911948,0.00135464643727987,0.002167434299647792,ranking_data_random
ebm_extended,0.004876727174207532,0.005689515036575454,0.005960444324031428,ranking_data_random
ebm_location,0.000812787862367922,0.000812787862367922,0.000812787862367922,ranking_knn_lda
ebm_side_info,0.000270929287455974,0.000541858574911948,0.000812787862367922,ranking_knn_lda
ebm_extended,0.000812787862367922,0.001083717149823896,0.001625575724735844,ranking_knn_lda
ebm_location,0.007586020048767272,0.008940666486047142,0.009211595773503115,actual_test_interaction
ebm_side_info,0.001083717149823896,0.002167434299647792,0.003522080736927662,actual_test_interaction
ebm_extended,0.007315090761311298,0.008669737198591168,0.00948252506095909,actual_test_interaction
ebm_location,0.007586020048767272,0.008940666486047142,0.009211595773503115,all_interaction_data
ebm_side_info,0.001083717149823896,0.002167434299647792,0.003522080736927662,all_interaction_data
ebm_extended,0.007315090761311298,0.008669737198591168,0.00948252506095909,all_interaction_data
