Y_pred,count,mean,std,min,q1,med,q3,max,model
0,55134.0,0.23250834050830863,0.0640548428813917,0.0619591375679742,0.18760895873467656,0.22423252130479515,0.26802205729770684,0.4999682076031859,logreg
1,19186.0,0.9197764029102923,0.06390977438770021,0.5000267967510024,0.8946669067048534,0.9350148214466667,0.9608354836252285,0.9990759358409772,logreg
0,14487.0,0.0007938151446124111,0.019907405298354566,0.0,0.0,0.0,0.0,0.5,dt
1,59833.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,dt
0,8925.0,0.24218213771990607,0.1545250751137131,3.6920604728339467e-23,0.0997043659252017,0.2470849944423543,0.3775799526322386,0.4999907515145304,nb
1,65395.0,0.9295421542865718,0.11536648984830701,0.5000053806787251,0.9134186385699596,0.989145153687864,0.999658157220769,1.0,nb
0,55379.0,0.42934063400187084,0.00241689226599985,0.4273272752761841,0.4273272752761841,0.4273272752761841,0.4322418868541717,0.4322418868541717,xgbt
1,18941.0,0.5833955624401742,0.002600593352126882,0.5826614499092102,0.5826614499092102,0.5826614499092102,0.5826614499092102,0.5926076769828796,xgbt
0,54951.0,0.4971495045822198,0.0009471209009449156,0.4934067493012315,0.4964978046491471,0.4971069906674286,0.4977623206837063,0.4999991941372242,ada
1,19369.0,0.5067312175620382,0.002510818484212272,0.5000018495580414,0.5051805504551594,0.506702882535473,0.5081839972952489,0.5165789851901315,ada
0,55372.0,0.01791405827561759,0.020851555749904306,0.0034866058359222,0.012522562565680826,0.015605697108393251,0.0196242699638163,0.4810952850805814,lda
1,18948.0,0.9951407206441968,0.009435011481713525,0.5038452328665927,0.9938119966469736,0.9962587282263632,0.9977277108123203,0.9998194680998116,lda
0,11509.0,0.24511925205852933,0.15435991253154513,5.954841462381569e-22,0.1020732693190103,0.2494993991064826,0.3830768475789446,0.4998775525003119,qda
1,62811.0,0.9198455112252281,0.12493847179626859,0.5000399649944571,0.8909488643228537,0.9869147358120496,0.999800975040513,1.0,qda
0,5836.0,0.4669207859985852,0.03404642619836588,0.3788619351679383,0.46317903472294153,0.480615556961966,0.4900077805120918,0.4999948476289167,fm
1,67984.0,0.6583304425209269,0.06421484927128314,0.5000487491827255,0.6069452570703756,0.662708503114951,0.7043486171784462,0.8517014550559331,fm
0,54112.0,0.17893126025690353,0.08349148441600648,0.0666389861568227,0.1135554747799341,0.1731316683889678,0.21098094849955326,0.4999637562918898,fm_match
1,19708.0,0.9210779575004948,0.08606708380761234,0.5004628620088115,0.9372066143374684,0.9399533916685396,0.9420693327513826,0.9933234580671416,fm_match
0,5837.0,0.39787804893186535,0.08130399986140402,0.0718239736528337,0.3468364669935215,0.4213732286128431,0.4628116175487198,0.4999865813095054,fm_side_info
1,67983.0,0.7713344100361303,0.10468290188418627,0.500058805891606,0.7031513491717344,0.7904305620057256,0.8528017311650777,0.9847823946604006,fm_side_info
0,54925.0,0.17032973985054736,0.08064851896544785,0.0133301368509965,0.1097593894137977,0.153755192163693,0.2173045170227494,0.4999033081156837,fm_extended
1,18895.0,0.9297852144496017,0.06688454790847691,0.5000325290223655,0.9217732564082954,0.9495262602834952,0.9624700847551273,0.9975025061139712,fm_extended
0,55317.0,0.1479464030654711,0.009407247491032176,0.1474256436712397,0.1474256436712397,0.1474256436712397,0.1474256436712397,0.317880362077742,ebm_location
1,18503.0,0.8993064082333698,0.029808558741426853,0.6361966047908475,0.893327716624457,0.893327716624457,0.893327716624457,0.9881915743983322,ebm_location
0,9354.0,0.435972223258998,0.03600258051647642,0.1960282880890083,0.4237976345685762,0.4380884047556908,0.4564564754633002,0.4999155715998418,ebm_side_info
1,64466.0,0.5941114286926037,0.0334733481823402,0.5003044966175024,0.5739363465425295,0.5986730293512014,0.6158398373499449,0.7964417362762986,ebm_side_info
0,55319.0,0.1579140331149011,0.03202054882144311,0.0718125912285225,0.1407815928453376,0.1577789275340175,0.1743504427603788,0.4894264165317404,ebm_extended
1,18501.0,0.9199134341695505,0.03542459465167503,0.528140162483795,0.9041372822620712,0.9227805534220124,0.9356209274535056,0.9960424759306096,ebm_extended
0,55317.0,0.2924778081507653,1.5876332755985828e-13,0.2924778081507653,0.2924778081507653,0.2924778081507653,0.2924778081507653,0.2924778081507653,dpebm_location
1,18503.0,0.7068785455786455,0.04240700457628872,0.5079871278469344,0.6961893099606193,0.6961893099606193,0.6961893099606193,0.8512638597660714,dpebm_location
0,73820.0,0.49569253504605554,9.367781641641675e-05,0.4956105400766022,0.4956237164926713,0.4956818744929491,0.4956818744929491,0.4959006972324916,dpebm_side_info
0,55317.0,0.28892155937970004,0.0005771186895561786,0.2883649855723429,0.2884614805031354,0.2889959932629683,0.2892039618685237,0.2901900770060919,dpebm_extended
1,18503.0,0.7013731394445906,0.0428399524745872,0.5020916855092246,0.690062938643074,0.6906193296224445,0.6912787448992995,0.848196504180248,dpebm_extended
