sample_index,feature_names,feature_importance_scores
0,State,0.7078631953465506
0,City,-0.2896079251933253
0,Country,0.0
1,State,-0.7066759724791614
1,City,-0.3383305691754411
1,Country,0.0
2,State,-0.7086700603584628
2,City,-0.3341288905429763
2,Country,0.0
3,State,-0.7104137418799347
3,City,-0.331415392834098
3,Country,0.0
4,State,0.7090365731154954
4,City,-0.26285454036378153
4,Country,0.0
5,State,0.7082756665772165
5,City,-0.2849850088773067
5,Country,0.0
6,State,0.7054487324180011
6,City,-0.27890683721342374
6,Country,0.0
7,State,-0.7091014764312145
7,City,-0.3465594816822299
7,Country,0.0
8,State,-0.7064707039049614
8,City,-0.3326500548499458
8,Country,0.0
9,State,-0.7088406331628062
9,City,-0.3350637756744826
9,Country,0.0
10,State,0.707412698642884
10,City,-0.28220701599157116
10,Country,0.0
11,State,-0.7097254341114136
11,City,-0.33568791901539047
11,Country,0.0
12,State,0.6803717431709676
12,City,0.26816345851874646
12,Country,0.0
13,State,-0.7067745480494578
13,City,-0.331954676888373
13,Country,0.0
14,State,0.7063886864147992
14,City,-0.2706825974217522
14,Country,0.0
15,State,-0.706573346132036
15,City,-0.34754842546678905
15,Country,0.0
16,State,0.707206476579488
16,City,-0.27444965267741794
16,Country,0.0
17,State,0.7087041426104019
17,City,-0.27766727920085366
17,Country,0.0
18,State,0.681515449185069
18,City,0.2800108823531513
18,Country,0.0
19,State,-0.7062657773895843
19,City,-0.33985986686330266
19,Country,0.0
