sample_index,feature_names,feature_importance_scores
0,State,0.011858671943070736
0,City,-0.004908858323547464
0,job_matrix_7,0.0009219490726483702
0,job_matrix_80,0.0008724066057213943
0,job_matrix_8,0.0008302535278196777
0,job_matrix_27,0.0007447820551068015
0,job_matrix_87,0.0007023988827979373
0,job_matrix_34,0.0006974297656375939
0,job_matrix_93,0.0006464552534835569
0,job_matrix_19,0.0006326884231857999
0,job_matrix_53,-0.0006110845022034544
0,DegreeType,0.0005389603231828557
0,job_matrix_92,0.0005321225305772849
0,job_matrix_57,0.0005192352544176801
0,job_matrix_26,0.0005167683201361537
0,job_matrix_31,0.0005149656586979541
0,job_matrix_29,-0.0004921640298184426
0,job_matrix_40,0.0004915828519033688
0,job_matrix_15,-0.000484471354607038
0,job_matrix_21,0.0003884040303537944
1,State,-0.01184073826456484
1,City,-0.004916051429049954
1,job_matrix_7,0.0010803021313364931
1,job_matrix_80,0.0008691557914441498
1,job_matrix_8,0.0008486224639908714
1,job_matrix_87,0.0008029026489995169
1,job_matrix_27,0.0007030536489865069
1,job_matrix_93,0.0006681527323117832
1,job_matrix_34,0.0006509002645735982
1,job_matrix_19,0.0006148005586086679
1,job_matrix_29,0.0005993198937057149
1,job_matrix_57,0.0005987335241832474
1,job_matrix_53,-0.0005973261209196017
1,job_matrix_92,0.0005437499946930708
1,job_matrix_31,0.0005254272382716697
1,DegreeType,0.0005067427625139893
1,job_matrix_15,-0.0004891331735768653
1,job_matrix_40,-0.00043508953271691436
1,job_matrix_21,0.00039128397381728595
1,job_matrix_12,0.0003439567980124622
2,State,-0.01183574399848852
2,City,-0.005031781484588581
2,DegreeType,0.0009570400580553904
2,job_matrix_7,0.0009193911772811502
2,job_matrix_80,0.0008902243756493124
2,job_matrix_8,0.000851987571086428
2,job_matrix_27,-0.000804229634823896
2,job_matrix_53,0.000759990229455898
2,job_matrix_87,0.0006985958056578783
2,job_matrix_93,0.0006802001452249663
2,job_matrix_19,0.0006551094953949423
2,job_matrix_34,0.0006362188598143684
2,job_matrix_29,0.0005869360926859903
2,job_matrix_26,0.0005825442561834465
2,job_matrix_31,0.0005362725148032246
2,job_matrix_15,-0.0005230990612814867
2,job_matrix_92,0.0005104103233438055
2,job_matrix_57,0.0004976070203276477
2,job_matrix_40,0.00040864010301381736
2,CurrentlyEmployed,-0.00036078211598973564
3,State,-0.011833735769177692
3,City,-0.004950120928563087
3,job_matrix_7,-0.00097840333747208
3,job_matrix_80,0.0008767351865862967
3,DegreeType,0.0008740113027461641
3,job_matrix_8,0.0008218192365545006
3,job_matrix_27,0.0007266761433468004
3,job_matrix_57,0.0007252050348044774
3,job_matrix_87,0.0006978660670339567
3,job_matrix_34,0.0006591158440719752
3,job_matrix_93,-0.0006363006012647278
3,job_matrix_19,-0.0006225164186891331
3,job_matrix_53,-0.0006130824221110406
3,job_matrix_92,0.0005264561569787307
3,job_matrix_31,0.0005119503873430322
3,job_matrix_29,-0.00046998906764654904
3,job_matrix_5,-0.0004155139160231725
3,job_matrix_15,-0.00039403401279694675
3,job_matrix_21,0.0003620536888635358
3,job_matrix_13,-0.0003512975951268554
4,State,0.011827431390579854
4,City,-0.004961001309335193
4,job_matrix_7,0.0009348296233190679
