sample_index,feature_names,feature_importance_scores
0,State,0.7264954168263883
0,City,-0.30327006913201376
0,DescTopic,0.01958856440290018
0,ReqTopic,-0.018427090985152817
0,DegreeType,0.016015225874400667
0,CurrentlyEmployed,0.010833011072517818
0,WorkHistoryLevel,0.006135409499455117
0,WorkHistoryTopic,-0.004362449846551136
0,ManagedOthers,-0.003601323474553454
0,TitTopic,-0.002145489840770615
0,SeniorLevel,-0.0014093410543786777
0,Country,0.0
1,State,-0.7230065822630082
1,City,-0.307958564728065
1,DescTopic,0.018708578100798207
1,DegreeType,0.0143167687385416
1,CurrentlyEmployed,0.007605948307201724
1,ReqTopic,-0.006358825168015798
1,ManagedOthers,-0.005478250021494171
1,WorkHistoryLevel,0.004903206510938618
1,WorkHistoryTopic,0.0016600596429684155
1,TitTopic,0.0016138460924290522
1,SeniorLevel,0.0010415108440829553
1,Country,0.0
2,State,-0.7227236953642514
2,City,-0.30085312249127244
2,DegreeType,0.024377219648596904
2,DescTopic,0.02392795068537979
2,ReqTopic,0.017822649565043088
2,CurrentlyEmployed,-0.007430526687499273
2,TitTopic,0.006428742719457789
2,WorkHistoryTopic,-0.005183941034455069
2,ManagedOthers,-0.004128319885231279
2,SeniorLevel,0.002944754989672523
2,WorkHistoryLevel,-0.00288501823695576
2,Country,0.0
3,State,-0.7241311463301746
3,City,-0.30527884760191454
3,DescTopic,-0.02672622204215644
3,DegreeType,0.024251560332864155
3,ReqTopic,0.020687100278629265
3,CurrentlyEmployed,-0.012546918431296945
3,TitTopic,-0.008696087677839342
3,ManagedOthers,-0.0037858729363318745
3,SeniorLevel,0.0006357331594997984
3,WorkHistoryLevel,0.00037160152429702604
3,WorkHistoryTopic,-0.00020794710201820437
3,Country,0.0
4,State,0.7244202663122445
4,City,-0.30036445017870456
4,ReqTopic,0.018730817774532844
4,DegreeType,-0.01855191752272312
4,DescTopic,0.015844809020567195
4,CurrentlyEmployed,-0.006558634132718625
4,ManagedOthers,-0.005006523557087054
4,WorkHistoryLevel,-0.003734666366860736
4,TitTopic,-0.003631965493657793
4,SeniorLevel,0.0014099355811472048
4,WorkHistoryTopic,-0.00016714452616579945
4,Country,0.0
5,State,0.7294581114239563
5,City,-0.2997925544946881
5,ReqTopic,-0.022732577526483597
5,DegreeType,-0.01748730701619348
5,DescTopic,-0.01256567418256555
5,CurrentlyEmployed,-0.007066637606547503
5,SeniorLevel,-0.0049290738373230355
5,ManagedOthers,-0.0031737423591244192
5,WorkHistoryTopic,0.002046466382198
5,WorkHistoryLevel,-0.001552853316406121
5,TitTopic,0.00043431494303992023
5,Country,0.0
6,State,0.731033502707101
6,City,-0.3028284663580234
6,DescTopic,-0.028146299584839853
6,ReqTopic,-0.018784206337420988
6,DegreeType,-0.0144642603107841
6,CurrentlyEmployed,-0.009524996868857173
6,TitTopic,-0.005091442406797158
6,WorkHistoryLevel,-0.0043954146619362275
6,WorkHistoryTopic,-0.0030240182271980614
6,SeniorLevel,-0.0017939772242546075
6,ManagedOthers,-0.0010741480781166141
6,Country,0.0
7,State,-0.7244235308226367
7,City,-0.3038790688659274
7,DegreeType,-0.020918983167058217
7,ReqTopic,0.020199816590877245
7,DescTopic,-0.014017193255730781
7,CurrentlyEmployed,-0.010427011720065044
7,TitTopic,-0.006114975755713457
7,WorkHistoryLevel,-0.0021855322893894616
7,SeniorLevel,0.0019159439443773303
7,ManagedOthers,-0.0016318490092016762
7,WorkHistoryTopic,0.0013334576505542764
7,Country,0.0
8,State,-0.7250893209335747
8,City,-0.30433215850520345
8,ReqTopic,-0.021558271741350447
8,DescTopic,0.015791485306025567
8,DegreeType,-0.015561192249624656
8,CurrentlyEmployed,-0.009153426073889108
8,WorkHistoryLevel,-0.004049535185141829
8,SeniorLevel,-0.0032817608864682234
8,TitTopic,-0.002211671938967359
8,WorkHistoryTopic,0.0017242196581454608
8,ManagedOthers,0.0009172444952337958
8,Country,0.0
9,State,-0.7224933740652786
9,City,-0.3052520543988414
9,DescTopic,0.016660200549868977
9,DegreeType,-0.013023559630909507
9,CurrentlyEmployed,-0.009987880417590371
9,ReqTopic,-0.0058874739087894905
9,WorkHistoryLevel,-0.0052967635730854406
9,ManagedOthers,-0.0026867344736286737
9,SeniorLevel,-0.0022138942513854815
9,TitTopic,0.0005392718379615001
9,WorkHistoryTopic,-0.0002531911292967485
9,Country,0.0
10,State,0.7304581819071161
10,City,-0.3080912589815753
10,ReqTopic,0.020426886402303134
10,DescTopic,-0.015469744909524774
10,DegreeType,0.012996954407366163
10,CurrentlyEmployed,-0.012077974149522854
10,TitTopic,0.0034082217965636873
10,SeniorLevel,-0.0028113102415028737
10,WorkHistoryTopic,0.0016829224646044436
10,ManagedOthers,-0.0010531239647459181
10,WorkHistoryLevel,-0.0010471850128533006
10,Country,0.0
11,State,-0.7254070684023074
11,City,-0.31212902856750485
11,DescTopic,0.020196290103165433
11,ReqTopic,0.01858993814760678
11,DegreeType,0.012678157465144444
11,TitTopic,-0.009474627985554943
11,CurrentlyEmployed,-0.007413946348927515
11,WorkHistoryLevel,-0.004056197457922046
11,WorkHistoryTopic,0.0038174313450985214
11,ManagedOthers,-0.0035399174078152348
11,SeniorLevel,-0.003509258870946265
11,Country,0.0
12,State,0.719124449158618
12,City,0.27633539934371865
12,DegreeType,-0.019708398758337114
12,DescTopic,0.019654279336223025
12,ReqTopic,0.017042113131817135
12,CurrentlyEmployed,0.007473295648502642
12,WorkHistoryLevel,0.006450527022666199
12,TitTopic,-0.005746224403749662
12,SeniorLevel,-0.004362587226440669
12,ManagedOthers,0.0038911691560704555
12,WorkHistoryTopic,-0.0014953381171189746
12,Country,0.0
13,State,-0.7227256768673415
13,City,-0.30819541972808684
13,DescTopic,-0.0248931151174905
13,ReqTopic,-0.017377068693733472
13,DegreeType,-0.014683944001229403
13,CurrentlyEmployed,0.009966758384021978
13,WorkHistoryLevel,0.00721990590848269
13,WorkHistoryTopic,-0.0010247657179067793
13,SeniorLevel,-0.0009736154757946125
13,TitTopic,-0.0008263639176059355
13,ManagedOthers,0.0003430972022357286
13,Country,0.0
14,State,0.7260543411867084
14,City,-0.2808150403496575
14,ReqTopic,0.02257178722031528
14,DescTopic,0.01611401132237265
14,DegreeType,-0.014874354280307912
14,CurrentlyEmployed,0.010247981607665022
14,ManagedOthers,-0.004542275174484415
14,WorkHistoryLevel,-0.004261150882046139
14,WorkHistoryTopic,-0.0028054534985340654
14,TitTopic,0.0019767518259953803
14,SeniorLevel,-0.0019245341495509498
14,Country,0.0
15,State,-0.7242243399693387
15,City,-0.30963488478169815
15,DescTopic,-0.03120017637574803
15,ReqTopic,-0.01899070852625186
15,DegreeType,-0.01540882422931929
15,WorkHistoryTopic,0.008664029043401007
15,TitTopic,0.007108467473440891
15,CurrentlyEmployed,0.006806707233428874
15,ManagedOthers,-0.002669629118486075
15,WorkHistoryLevel,-0.0013861151709524842
15,SeniorLevel,0.001352597875842208
15,Country,0.0
16,State,0.7265226499997384
16,City,-0.30586930888969416
16,DescTopic,-0.02735578982844092
16,ReqTopic,0.02021550298264111
16,DegreeType,-0.015249383479127994
16,CurrentlyEmployed,0.007962173687783385
16,ManagedOthers,-0.004320766736435548
16,WorkHistoryLevel,-0.0029585379585262248
16,WorkHistoryTopic,0.0020099189848874137
16,SeniorLevel,-0.0004521557236849311
16,TitTopic,-0.00020408404962124355
16,Country,0.0
17,State,0.7246920960516573
17,City,-0.2886913234797896
17,DescTopic,-0.015656724990043062
17,DegreeType,-0.014867882918770583
17,ReqTopic,-0.00794184191689418
17,CurrentlyEmployed,0.00765342591946192
17,ManagedOthers,-0.005787727431838863
17,WorkHistoryLevel,-0.0031545101498294623
17,TitTopic,-0.002003362059657501
17,WorkHistoryTopic,-0.0012283867384969634
17,SeniorLevel,-0.0004968670598736616
17,Country,0.0
18,State,0.716430913281012
18,City,0.28142065656658344
18,DescTopic,0.02148245345791023
18,DegreeType,-0.014807185447550464
18,TitTopic,-0.00969689716909213
18,ManagedOthers,-0.008746295818846133
18,CurrentlyEmployed,0.007714010478301749
18,ReqTopic,-0.005232396024681495
18,WorkHistoryTopic,-0.004384480517768454
18,WorkHistoryLevel,-0.0015270778099754113
18,SeniorLevel,-0.0009902622238028057
18,Country,0.0
19,State,-0.725092913298212
19,City,-0.304162919761294
19,DegreeType,-0.019861430708074043
19,ReqTopic,-0.018880219019354612
19,DescTopic,-0.014561954119082288
19,CurrentlyEmployed,0.009999540313465628
19,ManagedOthers,-0.006016910868061918
19,WorkHistoryLevel,-0.003118271225160339
19,SeniorLevel,0.001780410566004867
19,WorkHistoryTopic,-0.0017355954665143176
19,TitTopic,-0.0008206585256528603
19,Country,0.0
